set_id	session_id	exercise_id	set_type	date	day_type	session_type	exercise	set_num	reps	weight_kg	RPE	notes
S1-SET01	S1	EX-BARBELL-BENCH-PRESS	working	2026-04-??	Push	Gym	Barbell Bench Press	1	8	10		
S1-SET02	S1	EX-BARBELL-BENCH-PRESS	working	2026-04-??	Push	Gym	Barbell Bench Press	2	8	10		
S1-SET03	S1	EX-BARBELL-BENCH-PRESS	working	2026-04-??	Push	Gym	Barbell Bench Press	3	8	10		
S1-SET04	S1	EX-45-DEG-INCLINE-DB-PRESS	working	2026-04-??	Push	Gym	Incline Dumbbell Press	1	10	10		
S1-SET05	S1	EX-45-DEG-INCLINE-DB-PRESS	working	2026-04-??	Push	Gym	Incline Dumbbell Press	2	10	10		
S1-SET06	S1	EX-45-DEG-INCLINE-DB-PRESS	working	2026-04-??	Push	Gym	Incline Dumbbell Press	3	12	10		Best guide vid: youtu.be/ou6s32mJgjU
S1-SET07	S1	LEGACY-OVERHEAD-PRESS-BARBELL	drop_set	2026-04-??	Push	Gym	Overhead Press (Barbell)	1	6	8		Drop set - continued below
S1-SET08	S1	LEGACY-OVERHEAD-PRESS-BARBELL	drop_set_continuation	2026-04-??	Push	Gym	Overhead Press (Barbell)	1b	6	6		Drop set continuation of set 1 (8kg -> 6kg)
S1-SET09	S1	LEGACY-OVERHEAD-PRESS-BARBELL	working	2026-04-??	Push	Gym	Overhead Press (Barbell)	2	12	6		
S1-SET10	S1	LEGACY-OVERHEAD-PRESS-BARBELL	working	2026-04-??	Push	Gym	Overhead Press (Barbell)	3	7	8		
S1-SET11	S1	EX-HIGH-CABLE-LATERAL-RAISE	working	2026-04-??	Push	Gym	Lateral Raises	1	15	5		
S1-SET12	S1	EX-HIGH-CABLE-LATERAL-RAISE	working	2026-04-??	Push	Gym	Lateral Raises	2	15	4		Dropped to 4kg for sets 2-3
S1-SET13	S1	EX-HIGH-CABLE-LATERAL-RAISE	working	2026-04-??	Push	Gym	Lateral Raises	3	15	4		
S1-SET14	S1	EX-TRICEPS-PRESSDOWN-BAR	working	2026-04-??	Push	Gym	Tricep Pushdowns	1	12	10		Wrist pain during sets
S1-SET15	S1	EX-TRICEPS-PRESSDOWN-BAR	working	2026-04-??	Push	Gym	Tricep Pushdowns	2	12	10		Wrist pain during sets
S1-SET16	S1	EX-TRICEPS-PRESSDOWN-BAR	working	2026-04-??	Push	Gym	Tricep Pushdowns	3	12	10		Wrist pain during sets
S1-SET17	S1	EX-ROMAN-CHAIR-LEG-RAISE	skipped	2026-04-??	Push	Gym	Hanging Leg Raises					SKIPPED - football next day
S2-SET01	S2	LEGACY-ASSISTED-PULL-UPS	working	2026-04-??	Pull	Gym	Assisted Pull-ups	1	8	35		35kg assistance
S2-SET02	S2	LEGACY-ASSISTED-PULL-UPS	working	2026-04-??	Pull	Gym	Assisted Pull-ups	2	6	30		30kg assistance
S2-SET03	S2	LEGACY-ASSISTED-PULL-UPS	drop_set	2026-04-??	Pull	Gym	Assisted Pull-ups	3	3	20		Drop set: started at 20kg assistance...
S2-SET04	S2	LEGACY-ASSISTED-PULL-UPS	drop_set_continuation	2026-04-??	Pull	Gym	Assisted Pull-ups	3b	3	25		...added to 25kg assistance to finish set
S2-SET05	S2	EX-NEUTRAL-GRIP-LAT-PULLDOWN	working	2026-04-??	Pull	Gym	Lat Pulldown	1	12	30		Close/neutral grip
S2-SET06	S2	EX-NEUTRAL-GRIP-LAT-PULLDOWN	working	2026-04-??	Pull	Gym	Lat Pulldown	2	12	35		
S2-SET07	S2	EX-NEUTRAL-GRIP-LAT-PULLDOWN	drop_set	2026-04-??	Pull	Gym	Lat Pulldown	3	8	40		Drop set: started 40kg...
S2-SET08	S2	EX-NEUTRAL-GRIP-LAT-PULLDOWN	drop_set_continuation	2026-04-??	Pull	Gym	Lat Pulldown	3b	4	35		...dropped to 35kg to finish
S2-SET09	S2	EX-NEUTRAL-GRIP-SEATED-CABLE-ROW	working	2026-04-??	Pull	Gym	Seated Cable Rows	1	12	25		
S2-SET10	S2	EX-NEUTRAL-GRIP-SEATED-CABLE-ROW	working	2026-04-??	Pull	Gym	Seated Cable Rows	2	10	30		
